,IndicatorCategoryCode,IndicatorCategory,IndicatorCode,Indicator,ReportingEconomyCode,ReportingEconomy,PartnerEconomyCode,PartnerEconomy,ProductOrSectorClassificationCode,ProductOrSectorClassification,ProductOrSectorCode,ProductOrSector,PeriodCode,Period,FrequencyCode,Frequency,UnitCode,Unit,Year,ValueFlagCode,ValueFlag,TextValue,Value
62,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,008,Albania,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTAU,Automotive products,A,Annual,A,Annual,USM,Million US dollar,2022,,,,41.0
63,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,008,Albania,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTAU,Automotive products,A,Annual,A,Annual,USM,Million US dollar,2023,,,,16.0
64,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,040,Austria,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2016,,,,9304.0
65,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,040,Austria,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2017,,,,11231.0
66,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,040,Austria,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2018,,,,11057.0
67,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,040,Austria,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2020,,,,13639.0
68,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,040,Austria,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2021,,,,14837.0
69,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,040,Austria,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2022,,,,14463.0
70,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,040,Austria,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2023,,,,17867.0
71,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,040,Austria,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTAU,Automotive products,A,Annual,A,Annual,USM,Million US dollar,2023,,,,22709.0
72,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,040,Austria,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTAU,Automotive products,A,Annual,A,Annual,USM,Million US dollar,2016,,,,16935.0
73,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,040,Austria,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTAU,Automotive products,A,Annual,A,Annual,USM,Million US dollar,2017,,,,18349.0
74,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,040,Austria,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTAU,Automotive products,A,Annual,A,Annual,USM,Million US dollar,2018,,,,20714.0
75,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,040,Austria,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTAU,Automotive products,A,Annual,A,Annual,USM,Million US dollar,2020,,,,17761.0
76,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,040,Austria,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTAU,Automotive products,A,Annual,A,Annual,USM,Million US dollar,2021,,,,19468.0
77,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,040,Austria,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTAU,Automotive products,A,Annual,A,Annual,USM,Million US dollar,2022,,,,19978.0
78,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,008,Albania,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTAU,Automotive products,A,Annual,A,Annual,USM,Million US dollar,2016,,,,15.0
79,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,008,Albania,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTAU,Automotive products,A,Annual,A,Annual,USM,Million US dollar,2017,,,,19.0
80,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,056,Belgium,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2016,,,,45012.0
81,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,056,Belgium,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2017,,,,44741.0
82,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,056,Belgium,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2018,,,,50408.0
83,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,056,Belgium,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2020,,,,64371.0
84,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,056,Belgium,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2021,,,,99908.0
85,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,056,Belgium,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2022,,,,104191.0
86,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,056,Belgium,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2023,,,,84211.0
87,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,100,Bulgaria,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2016,,,,890.0
88,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,100,Bulgaria,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2017,,,,1009.0
89,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,100,Bulgaria,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2018,,,,1104.0
90,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,100,Bulgaria,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2020,,,,1205.0
91,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,100,Bulgaria,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2021,,,,1211.0
92,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,100,Bulgaria,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2022,,,,1213.0
93,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,100,Bulgaria,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2023,,,,1372.0
94,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,056,Belgium,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTAU,Automotive products,A,Annual,A,Annual,USM,Million US dollar,2016,,,,44140.0
95,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,056,Belgium,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTAU,Automotive products,A,Annual,A,Annual,USM,Million US dollar,2017,,,,47414.0
96,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,056,Belgium,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MAMTAU,Automotive products,A,Annual,A,Annual,USM,Million US dollar,2018,,,,49254.0
97,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,233,Estonia,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2016,,,,84.0
98,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,233,Estonia,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2017,,,,94.0
99,ITS_MTV,Merchandise trade values,ITS_MTV_AX,Merchandise exports by product group  annual,233,Estonia,000,World,SITC3,Merchandise - SITC Revision 3 (aggregates),MACHPH,Pharmaceuticals,A,Annual,A,Annual,USM,Million US dollar,2018,,,,109.0
